case,generalization,solved,total_seconds,generalized_parameters,rewrite_steps
append_right_identity,False,True,0.0005835509999769783,,3
append_associativity,False,True,0.0009977559999470031,,6
add_right_zero,False,True,0.0002999330000648115,,3
add_right_successor,False,True,0.00041405499996471917,,5
reverse_append,False,True,0.00046372999997856823,,8
reverse_involution,False,True,0.0003898379999327517,,10
reverse_accumulator,False,False,0.00023619600005986285,,
length_accumulator,False,False,0.00017378199993345333,,
append_right_identity,True,True,0.0003457320000279651,,3
append_associativity,True,True,0.00044371900003170595,,6
add_right_zero,True,True,0.00022192500000528526,,3
add_right_successor,True,True,0.0004491180000059103,,5
reverse_append,True,True,0.0005042809999622477,,8
reverse_involution,True,True,0.0005066040000656358,,10
reverse_accumulator,True,True,0.00045556800000667863,a,9
length_accumulator,True,True,0.0003989719999708541,n,8
