case,status,generators,terms,seconds
0,proved,115,7,0.021418848000053003
1,proved,70,4,0.009950949999961267
2,proved,70,9,0.010581321000017851
3,proved,74,8,0.021498138999959338
4,proved,70,5,0.011842684999919584
5,proved,115,12,0.02446120100000826
6,proved,74,4,0.02144110299991553
7,proved,115,11,0.025208918999965135
8,proved,70,4,0.010806010000010247
9,proved,104,7,0.03289789400002974
10,proved,72,6,0.015700849000040762
11,proved,197,13,0.07289447400000881
12,proved,74,7,0.021646422999992865
13,proved,70,3,0.010595542000032765
14,proved,74,7,0.10364571000002343
15,proved,115,9,0.02368096300006073
16,proved,118,10,0.04058162299998003
17,proved,70,5,0.010290211999972598
18,proved,71,6,0.01781471899994358
19,proved,122,13,0.04322771699992245
20,proved,70,4,0.01100504099997579
21,proved,115,7,0.023221509999984846
22,proved,85,5,0.016952077000041754
23,proved,70,6,0.014034163000019362
24,proved,70,3,0.011035175999950297
25,proved,70,5,0.010243541999898298
26,proved,70,4,0.009906061999913618
27,proved,70,5,0.010357292999970014
28,proved,115,8,0.021678671000017857
29,proved,145,10,0.028552876999924592
30,proved,211,12,0.07340486499992949
31,proved,115,10,0.022808186000020214
32,proved,74,7,0.02487785099992834
33,proved,85,12,0.017564992000075108
34,proved,120,8,0.04168212299998686
35,proved,70,5,0.01012199799993141
36,proved,118,10,0.03929227699995863
37,proved,213,15,0.0775705730000027
38,proved,70,6,0.011624084999994011
39,proved,115,9,0.022698300000001836
40,proved,70,5,0.010121837000042433
41,proved,121,9,0.03758857499997248
42,proved,115,6,0.02075718000003235
43,proved,92,10,0.03631315999996332
44,proved,115,9,0.022887747000027048
45,proved,70,4,0.009979783000062525
46,proved,228,13,0.07766889100003027
47,proved,115,11,0.02258186400001705
48,proved,115,12,0.0241575830000329
49,proved,228,15,0.08080321199997798
50,proved,92,12,0.039142120000065006
51,proved,115,9,0.024155349000011483
52,proved,70,2,0.010277232000021286
53,proved,115,6,0.02225912699998389
54,proved,88,5,0.035935429999994994
55,proved,70,4,0.01006104599991886
56,proved,70,7,0.010905669999942802
57,proved,115,6,0.021748625999975957
58,proved,85,11,0.0204549740000175
59,proved,70,8,0.010830046000023685
60,proved,120,12,0.046061174000101346
61,proved,70,4,0.010179264000043986
62,proved,115,8,0.022480851999944207
63,proved,70,4,0.010149038999998083
64,proved,160,15,0.034559012000045186
65,proved,115,4,0.02109835600003862
66,proved,115,10,0.022756037000021934
67,proved,85,7,0.019103204000089136
68,proved,220,15,0.048850603999994746
69,proved,70,4,0.009936407999930452
70,proved,73,7,0.020341212999937852
71,proved,190,8,0.03715671300005852
72,proved,220,13,0.047095945000023676
73,proved,85,11,0.016903653999975177
74,proved,70,7,0.010462050999990424
75,proved,190,12,0.039631027000041286
76,proved,70,6,0.01051976899998408
77,proved,70,5,0.010272134000047117
78,proved,70,5,0.010042758000054164
79,proved,119,10,0.03658615300003021
80,proved,70,5,0.01005721999990783
81,proved,120,6,0.041313747000003787
82,proved,228,15,0.07828551199997946
83,proved,196,15,0.07550852099996064
84,proved,85,9,0.01662334100001317
85,proved,108,12,0.04347652200010543
86,proved,85,11,0.017789099999959035
87,proved,70,4,0.010393538000016633
88,proved,115,5,0.02197197399993911
89,proved,145,12,0.029099662000021453
90,proved,70,6,0.010218984999937675
91,proved,100,9,0.021383335000109582
92,proved,70,5,0.010099093000007997
93,proved,85,9,0.01588275300002806
94,proved,70,9,0.010673320000023523
95,proved,115,9,0.021690069000101175
96,proved,70,8,0.010457513999995172
97,proved,145,9,0.027914372999930492
98,proved,226,13,0.07123374800005422
99,proved,70,4,0.010196360000009008
