case,family,mode,expected,status,accepted,reason,check_seconds,kind,arithmetic_operations,basis_dimensions,elapsed_seconds,generators,grid_evaluations,groebner_calls,max_generated_degree,membership_queries,pullbacks,process_seconds,value,length
scaled_graph_00,scaled graph,linear,proved,proved,True,,0.0007204790000514549,closure-certificate,40,[1],0.0066706260000728435,1,0,0,2,4,1,0.8252578579999863,,
scaled_graph_00,scaled graph,ideal,proved,proved,True,,0.00027010500002688786,closure-certificate,40,[1],0.006659220000074129,1,0,1,2,4,1,0.7843651409999666,,
scaled_graph_01,scaled graph,linear,proved,proved,True,,0.00028434599994398013,closure-certificate,40,[1],0.00625035799998841,1,0,0,2,4,1,0.760018774999935,,
scaled_graph_01,scaled graph,ideal,proved,proved,True,,0.00028218300008120423,closure-certificate,40,[1],0.007027120999964609,1,0,1,2,4,1,0.7515514030000077,,
scaled_graph_02,scaled graph,linear,proved,proved,True,,0.000266699000007975,closure-certificate,40,[1],0.008076925000068513,1,0,0,2,4,1,0.8347661159999689,,
scaled_graph_02,scaled graph,ideal,proved,proved,True,,0.0002766450000990517,closure-certificate,40,[1],0.006585319000009804,1,0,1,2,4,1,0.8509536369999751,,
scaled_graph_03,scaled graph,linear,proved,proved,True,,0.00025067500007480703,closure-certificate,40,[1],0.007076520999930835,1,0,0,2,4,1,0.7816827380000859,,
scaled_graph_03,scaled graph,ideal,proved,proved,True,,0.00024109100002078776,closure-certificate,40,[1],0.006549692000021423,1,0,1,2,4,1,0.7433404979999523,,
scaled_graph_04,scaled graph,linear,proved,proved,True,,0.0002716760000112117,closure-certificate,40,[1],0.006815718999973797,1,0,0,2,4,1,0.6994868289999658,,
scaled_graph_04,scaled graph,ideal,proved,proved,True,,0.0002867100000685241,closure-certificate,40,[1],0.0061448239999890575,1,0,1,2,4,1,0.6939741300000151,,
scaled_graph_05,scaled graph,linear,proved,proved,True,,0.00026314399997318105,closure-certificate,40,[1],0.006537041999990834,1,0,0,2,4,1,0.7312283830000297,,
scaled_graph_05,scaled graph,ideal,proved,proved,True,,0.0002801099999487633,closure-certificate,40,[1],0.0068055039999990186,1,0,1,2,4,1,0.7036602350000294,,
scaled_graph_06,scaled graph,linear,proved,proved,True,,0.00025933799997801543,closure-certificate,40,[1],0.006393710999986979,1,0,0,2,4,1,0.7145853189999798,,
scaled_graph_06,scaled graph,ideal,proved,proved,True,,0.0002868889999945168,closure-certificate,40,[1],0.0060755650000601236,1,0,1,2,4,1,0.6954747880000696,,
scaled_graph_07,scaled graph,linear,proved,proved,True,,0.00026339399994412815,closure-certificate,40,[1],0.006939039000030789,1,0,0,2,4,1,0.7728373639999973,,
scaled_graph_07,scaled graph,ideal,proved,proved,True,,0.00028450600007090543,closure-certificate,40,[1],0.008199738000030266,1,0,1,2,4,1,0.7096200570000519,,
coupled_graph_00,coupled nonlinear,linear,proved,unknown,False,generated-polynomial degree cap,,,,,0.12588679399993907,9,0,0,7,25,9,0.9052419359999249,,
