family,case,generator_family,status,median_search_seconds,median_replay_seconds,certificate_bytes,basis_dimension,worlds,trace_length,conserved_target_only,coefficient_obligations,models
machine,delayed_relational_equality,worked,proved,0.0020539009999538393,0.00021336400004656753,323,2,,,False,2,
machine,delayed_mutant,worked,refuted,0.0013499249998858431,0.00014368699999067758,114,3,,2,False,2,
machine,sum_scaling,worked,proved,0.0006958540000141511,7.696600005147047e-05,173,1,,,True,1,
machine,square_of_sum,worked,proved,0.0008681350000188104,9.60449999638513e-05,173,1,,,True,1,
machine,cube_of_sum,worked,proved,0.0007345630001509562,0.00011341199979142402,173,1,,,True,1,
machine,symmetric_polynomial,worked,proved,0.0009248410001418961,0.000117406999834202,194,1,,,True,1,
machine,fibonacci_relational,worked,proved,0.0016054410000378994,0.00017831000013757148,320,2,,,False,2,
machine,alternating_control,worked,proved,0.0010654739999154117,0.00012745300000460702,264,2,,,False,2,
machine,circle_rotation,worked,proved,0.0007146430000375403,7.654599994566524e-05,186,1,,,True,1,
machine,seven_sample_trap,worked,refuted,0.0011797460001616855,5.135800006428326e-05,87,2,,1,False,8,
machine,nonlinear_growth_true_but_unknown,worked,unknown,0.0005817109999952663,,0,4,,,False,4,
machine,empty_basis_zero_goal,worked,proved,0.00017146000004686357,3.549300004124234e-05,92,0,,,True,0,
machine,zero_step_failure,worked,refuted,0.00012788300000465824,9.304000059273676e-06,61,1,,0,False,0,
machine,unreachable_bad_node,worked,proved,0.0005687010000201553,4.927400004817173e-05,194,2,,,False,1,
machine,simultaneous_swap,worked,proved,0.0006395389998488099,7.217899997158383e-05,186,1,,,True,1,
machine,two_payload_square,worked,proved,0.0008387499999571446,9.724799997457012e-05,175,1,,,True,1,
machine,symbolic_initial_parameter,worked,proved,0.0009561279998706596,9.933100000125705e-05,184,1,,,False,1,
machine,symbolic_initial_mutant,worked,refuted,0.0006637950000367709,4.5129000000088126e-05,87,2,,1,False,2,
machine,affine_conjugacy_00,conjugacy,proved,0.002440385999989303,0.00032676499995432096,358,2,,,False,2,
machine,affine_conjugacy_mutant_00,conjugacy_mutant,refuted,0.0015794020000612363,0.0001529109999864886,87,2,,1,False,1,
machine,affine_conjugacy_01,conjugacy,proved,0.0072753290000946436,0.0012171840000974044,840,3,,,False,6,
machine,affine_conjugacy_mutant_01,conjugacy_mutant,refuted,0.002504473000044527,0.0003084770000896242,87,3,,1,False,2,
machine,affine_conjugacy_02,conjugacy,proved,0.0018348290000176348,0.00027874200009136985,343,2,,,False,2,
machine,affine_conjugacy_mutant_02,conjugacy_mutant,refuted,0.001035046999959377,0.0001521399999546702,87,2,,1,False,1,
machine,affine_conjugacy_03,conjugacy,proved,0.007886536000114575,0.0014063410001199372,885,3,,,False,6,
machine,affine_conjugacy_mutant_03,conjugacy_mutant,refuted,0.00314137799978198,0.0003460949999407603,87,3,,1,False,2,
machine,affine_conjugacy_04,conjugacy,proved,0.002532265999889205,0.0002476849999766273,378,2,,,False,2,
machine,affine_conjugacy_mutant_04,conjugacy_mutant,refuted,0.0010068349999983184,0.00013927100008004345,87,2,,1,False,1,
machine,affine_conjugacy_05,conjugacy,proved,0.007908038000095985,0.0012356820000150037,836,3,,,False,6,
machine,affine_conjugacy_mutant_05,conjugacy_mutant,refuted,0.003683119000015722,0.0003425089998927433,87,3,,1,False,2,
machine,affine_conjugacy_06,conjugacy,proved,0.0023013160000573407,0.0003257440000652423,379,2,,,False,2,
machine,affine_conjugacy_mutant_06,conjugacy_mutant,refuted,0.0011342880000029254,0.0001482650000070862,87,2,,1,False,1,
machine,affine_conjugacy_07,conjugacy,proved,0.008615519999921162,0.0015694179999172775,858,3,,,False,6,
machine,affine_conjugacy_mutant_07,conjugacy_mutant,refuted,0.0031271059999653517,0.00033865299997160037,87,3,,1,False,2,
machine,affine_conjugacy_08,conjugacy,proved,0.0019343089998073992,0.00021313300021574832,324,2,,,False,2,
machine,affine_conjugacy_mutant_08,conjugacy_mutant,refuted,0.0009565279999605991,0.00010654099992279953,87,2,,1,False,1,
machine,affine_conjugacy_09,conjugacy,proved,0.011734915000033652,0.0016459329999634065,907,3,,,False,6,
machine,affine_conjugacy_mutant_09,conjugacy_mutant,refuted,0.003517197000064698,0.0003649220000170317,87,3,,1,False,2,
machine,affine_conjugacy_10,conjugacy,proved,0.0025353599999107246,0.00030157600008351437,359,2,,,False,2,
machine,affine_conjugacy_mutant_10,conjugacy_mutant,refuted,0.0011156599998685124,0.00013452399980451446,87,2,,1,False,1,
machine,affine_conjugacy_11,conjugacy,proved,0.008141792000060377,0.0013032540000494919,860,3,,,False,6,
machine,affine_conjugacy_mutant_11,conjugacy_mutant,refuted,0.0025746689998413785,0.000369390000059866,87,3,,1,False,2,
machine,affine_conjugacy_12,conjugacy,proved,0.0027410220000092522,0.00030432100015787,339,2,,,False,2,
