id,family,solved,search_median_ms,recheck_median_ms,ablation_solved,ablation,certificate_json_bytes,leaves,depth
quadratic_00,Quadratic SOS,True,0.090564,0.03382,True,expanded monomial squares only,106,,
quadratic_01,Quadratic SOS,True,0.355778,0.24262,False,expanded monomial squares only,217,,
quadratic_02,Quadratic SOS,True,0.846615,0.678676,False,expanded monomial squares only,368,,
quadratic_03,Quadratic SOS,True,1.971682,1.597387,False,expanded monomial squares only,595,,
quadratic_04,Quadratic SOS,True,3.955171,3.604051,False,expanded monomial squares only,973,,
quadratic_05,Quadratic SOS,True,0.134289,0.097254,False,expanded monomial squares only,194,,
quadratic_06,Quadratic SOS,True,0.401154,0.287226,False,expanded monomial squares only,332,,
quadratic_07,Quadratic SOS,True,0.255969,0.182911,False,expanded monomial squares only,136,,
quadratic_08,Quadratic SOS,True,1.446764,1.17384,False,expanded monomial squares only,319,,
quadratic_09,Quadratic SOS,True,3.146643,2.848461,False,expanded monomial squares only,548,,
quadratic_10,Quadratic SOS,True,0.131425,0.099297,False,expanded monomial squares only,194,,
quadratic_11,Quadratic SOS,True,0.387284,0.319994,False,expanded monomial squares only,315,,
quadratic_12,Quadratic SOS,True,0.92477,0.745044,False,expanded monomial squares only,518,,
quadratic_13,Quadratic SOS,True,2.114924,1.726648,False,expanded monomial squares only,766,,
quadratic_14,Quadratic SOS,True,1.590327,1.674191,False,expanded monomial squares only,214,,
quadratic_15,Quadratic SOS,True,0.149291,0.095712,False,expanded monomial squares only,188,,
quadratic_16,Quadratic SOS,True,0.527932,0.295368,False,expanded monomial squares only,309,,
quadratic_17,Quadratic SOS,True,0.949718,0.739146,False,expanded monomial squares only,488,,
quadratic_18,Quadratic SOS,True,2.222503,1.800488,False,expanded monomial squares only,739,,
quadratic_19,Quadratic SOS,True,4.278259,3.538643,False,expanded monomial squares only,1089,,
quadratic_20,Quadratic SOS,True,0.162351,0.096954,False,expanded monomial squares only,199,,
quadratic_21,Quadratic SOS,True,0.23583,0.163562,False,expanded monomial squares only,133,,
quadratic_22,Quadratic SOS,True,0.756791,0.616884,False,expanded monomial squares only,274,,
quadratic_23,Quadratic SOS,True,1.725827,1.439784,False,expanded monomial squares only,445,,
quadratic_24,Quadratic SOS,True,3.728385,3.201344,False,expanded monomial squares only,781,,
quadratic_25,Quadratic SOS,True,0.130303,0.099868,False,expanded monomial squares only,196,,
quadratic_26,Quadratic SOS,True,0.376238,0.294116,False,expanded monomial squares only,345,,
quadratic_27,Quadratic SOS,True,0.982606,0.844401,False,expanded monomial squares only,534,,
quadratic_28,Quadratic SOS,True,1.125928,0.965231,False,expanded monomial squares only,185,,
quadratic_29,Quadratic SOS,True,2.609147,2.390352,False,expanded monomial squares only,376,,
quadratic_30,Quadratic SOS,True,0.165144,0.098886,False,expanded monomial squares only,199,,
quadratic_31,Quadratic SOS,True,0.47242,0.296169,False,expanded monomial squares only,303,,
quadratic_32,Quadratic SOS,True,0.913534,0.718184,False,expanded monomial squares only,492,,
quadratic_33,Quadratic SOS,True,2.031881,1.675873,False,expanded monomial squares only,759,,
quadratic_34,Quadratic SOS,True,4.146094,3.428991,False,expanded monomial squares only,1057,,
quadratic_35,Quadratic SOS,True,0.103483,0.066478,False,expanded monomial squares only,117,,
quadratic_36,Quadratic SOS,True,0.361346,0.250391,False,expanded monomial squares only,227,,
quadratic_37,Quadratic SOS,True,0.824842,0.683283,False,expanded monomial squares only,390,,
quadratic_38,Quadratic SOS,True,1.998843,1.547362,False,expanded monomial squares only,610,,
quadratic_39,Quadratic SOS,True,3.918717,3.507027,False,expanded monomial squares only,912,,
quadratic_40,Quadratic SOS,True,0.138285,0.122912,False,expanded monomial squares only,202,,
quadratic_41,Quadratic SOS,True,0.373103,0.293294,False,expanded monomial squares only,325,,
quadratic_42,Quadratic SOS,True,0.493041,0.360724,False,expanded monomial squares only,158,,
quadratic_43,Quadratic SOS,True,1.560833,1.215201,False,expanded monomial squares only,320,,
quadratic_44,Quadratic SOS,True,3.190918,2.765709,False,expanded monomial squares only,569,,
quadratic_45,Quadratic SOS,True,0.129893,0.096162,False,expanded monomial squares only,202,,
quadratic_46,Quadratic SOS,True,0.393904,0.301887,False,expanded monomial squares only,341,,
quadratic_47,Quadratic SOS,True,0.898171,0.751924,False,expanded monomial squares only,519,,
quadratic_48,Quadratic SOS,True,2.054424,1.684436,False,expanded monomial squares only,797,,
quadratic_49,Quadratic SOS,True,0.986111,0.767337,False,expanded monomial squares only,194,,
quadratic_50,Quadratic SOS,True,0.127409,0.096193,False,expanded monomial squares only,185,,
quadratic_51,Quadratic SOS,True,0.375226,0.287566,False,expanded monomial squares only,299,,
quadratic_52,Quadratic SOS,True,0.880705,0.726466,False,expanded monomial squares only,483,,
quadratic_53,Quadratic SOS,True,1.927256,1.751816,False,expanded monomial squares only,742,,
quadratic_54,Quadratic SOS,True,4.361493,3.527357,False,expanded monomial squares only,1050,,
quadratic_55,Quadratic SOS,True,0.133497,0.096843,False,expanded monomial squares only,194,,
quadratic_56,Quadratic SOS,True,0.232174,0.165705,False,expanded monomial squares only,132,,
quadratic_57,Quadratic SOS,True,0.720768,0.592648,False,expanded monomial squares only,257,,
quadratic_58,Quadratic SOS,True,1.729823,1.4912,False,expanded monomial squares only,470,,
quadratic_59,Quadratic SOS,True,3.591142,3.27283,False,expanded monomial squares only,769,,
cone_00,Finite cone LP,True,1.930971,0.313745,False,monomial square candidates only,476,,
cone_01,Finite cone LP,True,1.609244,0.323379,False,monomial square candidates only,475,,
cone_02,Finite cone LP,True,2.120292,0.269509,False,monomial square candidates only,409,,
cone_03,Finite cone LP,True,1.724526,0.27056,False,monomial square candidates only,411,,
cone_04,Finite cone LP,True,1.832235,0.295618,False,monomial square candidates only,475,,
cone_05,Finite cone LP,True,1.601784,0.293766,False,monomial square candidates only,410,,
cone_06,Finite cone LP,True,1.689944,0.292503,False,monomial square candidates only,475,,
cone_07,Finite cone LP,True,1.760398,0.294536,False,monomial square candidates only,471,,
cone_08,Finite cone LP,True,1.9232,0.3172,False,monomial square candidates only,475,,
cone_09,Finite cone LP,True,1.649334,0.313144,False,monomial square candidates only,475,,
cone_10,Finite cone LP,True,1.589015,0.317721,False,monomial square candidates only,476,,
cone_11,Finite cone LP,True,1.687891,0.321987,False,monomial square candidates only,471,,
cone_12,Finite cone LP,True,1.726649,0.368896,False,monomial square candidates only,476,,
cone_13,Finite cone LP,True,1.699458,0.293155,False,monomial square candidates only,471,,
cone_14,Finite cone LP,True,1.630386,0.266736,False,monomial square candidates only,411,,
cone_15,Finite cone LP,True,1.668142,0.294155,False,monomial square candidates only,475,,
cone_box_products,Finite cone LP,True,2.443731,0.294727,False,without hypothesis products,331,,
box_-2/3_1/4,Bernstein box,True,0.432011,0.238624,False,no subdivision,70,2,1
box_-2/3_1/16,Bernstein box,True,0.729451,0.398671,False,no subdivision,131,3,2
box_-2/3_1/64,Bernstein box,True,1.028384,0.544137,False,no subdivision,191,4,3
