case,mode,solved,strict,total_seconds,nodes,leaves,max_depth,status
one_plus_square,no_subdivision,True,True,0.0011594300000297153,1,1,0,checked_python
one_plus_square,adaptive,True,True,0.0007317750000765955,1,1,0,checked_python
square_gap,no_subdivision,False,True,0.0002496570000403153,1,0,0,unknown
square_gap,adaptive,True,True,0.05276244499998484,43,22,6,checked_python
sum_centered,no_subdivision,False,True,0.0017240720000017973,1,0,0,unknown
sum_centered,adaptive,True,True,0.014076955000064117,11,6,4,checked_python
product_centered,no_subdivision,False,True,0.00024081300000489136,1,0,0,unknown
product_centered,adaptive,True,True,0.016525840999975117,13,7,4,checked_python
quartic_gap,no_subdivision,False,True,0.0003443190000780305,1,0,0,unknown
quartic_gap,adaptive,True,True,0.05554204599991408,19,10,4,checked_python
box_positive,no_subdivision,True,True,0.0022894950000136305,1,1,0,checked_python
box_positive,adaptive,True,True,0.0021958639999866136,1,1,0,checked_python
unit_product,no_subdivision,True,False,0.0025207939999063456,1,1,0,checked_python
unit_product,adaptive,True,False,0.0016185129999257697,1,1,0,checked_python
dyadic_zero,no_subdivision,False,False,0.00015436299997872993,1,0,0,unknown
dyadic_zero,adaptive,True,False,0.0026107300000148825,3,2,1,checked_python
nondyadic_zero,no_subdivision,False,False,0.00015429300003688695,1,0,0,unknown
nondyadic_zero,adaptive,False,False,0.0031428730000016003,16,3,12,unknown
negative_constant,no_subdivision,False,False,5.876899990653328e-05,1,0,0,unknown
negative_constant,adaptive,False,False,0.0008707940000931558,13,0,12,unknown
