name,increment_degree,invariant_degree,status,seconds
power_0,0,1,proved,0.017298400000072434
power_1,1,2,proved,0.001996382999891466
power_2,2,3,proved,0.00296983199996248
power_3,3,4,proved,0.004777180000019143
power_4,4,5,proved,0.006659051000042382
power_5,5,6,proved,0.009704396999950404
power_6,6,7,proved,0.012870857000052638
power_7,7,8,proved,0.01847334299998238
power_8,8,9,proved,0.026354358999924443
random_0,5,6,proved,0.008993384000063998
random_1,3,4,proved,0.0041089229999897725
random_2,0,1,proved,0.0006178829999043955
random_3,0,1,proved,0.0004715820000456006
random_4,4,5,proved,0.005183806999980334
random_5,0,1,proved,0.0004522929999666303
random_6,1,2,proved,0.0016596350000099847
random_7,6,7,proved,0.009999709999988227
random_8,4,5,proved,0.0040784390000681014
random_9,2,3,proved,0.0022076540000171008
random_10,4,5,proved,0.004021071000011034
random_11,2,3,proved,0.0022231570000030842
random_12,5,6,proved,0.007577082000011615
random_13,1,2,proved,0.001529480000044714
random_14,0,1,proved,0.0005090790000394918
random_15,4,5,proved,0.004121703000009802
random_16,3,4,proved,0.003637963000073796
random_17,1,2,proved,0.0013533229999893592
random_18,0,1,proved,0.00043986399998630077
random_19,2,3,proved,0.0020088740000119287
random_20,2,3,proved,0.002109454999981608
random_21,4,5,proved,0.004238589999999931
random_22,6,7,proved,0.013209446000018943
random_23,5,6,proved,0.007998767999993106
random_24,6,7,proved,0.008369097000013426
random_25,2,3,proved,0.002589250000028187
random_26,2,3,proved,0.002112710000005791
random_27,2,3,proved,0.002061372999946798
random_28,3,4,proved,0.0036885399999846413
random_29,5,6,proved,0.0069376259999671674
random_30,2,3,proved,0.0020194500000343396
random_31,6,7,proved,0.010064646999921933
random_32,6,7,proved,0.006757403999927192
random_33,5,6,proved,0.00617802900001152
random_34,5,6,proved,0.005318922000014936
random_35,2,3,proved,0.0024797439999701965
random_36,1,2,proved,0.00143239299995912
random_37,5,6,proved,0.005555759000003491
random_38,4,5,proved,0.0060259189999669616
random_39,3,4,proved,0.0035033900001053553
