case,witness,value,status,seconds
0,0,-1/373149,unknown,0.0009273899999016066
1,6/5,-1/429378,unknown,0.001167521999946075
2,-6/5,-1/291580,unknown,0.0011800519999951575
3,1,-1/909759,unknown,0.0011459700000386874
4,2/3,-1/232954,unknown,0.0011570170000823055
5,0,-1/822174,unknown,0.0008707639999556704
6,-4/5,-1/443041,unknown,0.0013432580000198868
7,-1,-1/2663,unknown,0.001222135000034541
8,-4/5,-1/315268,unknown,0.001292762000048242
9,-8/5,-1/530355,unknown,0.001170946999991429
10,8/7,-1/937084,unknown,0.0012383189999809474
11,2,-1/347583,unknown,0.0011975670000765604
12,-3/4,-1/410220,unknown,0.0014805350000415274
13,6/7,-1/861588,unknown,0.0012148429999569998
14,-5,-1/432381,unknown,0.0014676550000558564
15,2/5,-1/661218,unknown,0.0012756959999933315
16,10/7,-1/50082,unknown,0.0011747830000103932
17,-1/7,-1/719627,unknown,0.0011864310000646583
18,-3/2,-1/547559,unknown,0.0011471919999621605
19,-2,-1/274851,unknown,0.0011481729999331947
20,0,-1/988212,unknown,0.0008997679999538377
21,-1,-1/886632,unknown,0.0011188989999482146
22,-7/4,-1/621048,unknown,0.0011939720000100351
23,1/2,-1/593439,unknown,0.0012161860000787783
