w,c,A,B,C,D,search_seconds,replay_seconds
-5,-5,1,-5,-5,0,0.016398469000023397,0.00021419300003344688
-5,-4,1,-5,-4,0,0.0005711509999173359,0.00020839399996930297
-5,-3,1,-5,-3,0,0.0004928519999793934,0.00026046200002838304
-5,-2,1,-5,-2,0,0.0004960679999612694,0.00020067299999482202
-5,-1,1,-5,-1,0,0.00047038899992912775,0.00020343699998193188
-5,0,1,-5,0,0,0.00035095900000214897,0.00019020700005967228
-5,1,1,-5,1,0,0.0003710989999490266,0.00019925099991269235
-5,2,1,-5,2,0,0.00047655800005941273,0.00020020199997361487
-5,3,1,-5,3,0,0.00044763500000044587,0.00020037199999478617
-5,4,1,-5,4,0,0.00046897699996861775,0.00020145400003457326
-5,5,1,-5,5,0,0.0004961580000326649,0.00019789800001035474
-4,-5,1,-4,-5,0,0.000410057999943092,0.0001968970000234549
-4,-4,1,-4,-4,0,0.00038805500003036286,0.00019817899999452493
-4,-3,1,-4,-3,0,0.00033928200002719677,0.00022847399998227047
-4,-2,1,-4,-2,0,0.0003543840000475029,0.00040979799996421207
-4,-1,1,-4,-1,0,0.00041730899999947724,0.00019625499999165186
-4,0,1,-4,0,0,0.00038496000001941866,0.0001969670000789847
-4,1,1,-4,1,0,0.00035538500003440276,0.00023623599997790734
-4,2,1,-4,2,0,0.0004011940000054892,0.00019754800007376616
-4,3,1,-4,3,0,0.0003568079999922702,0.00019372200006273488
-4,4,1,-4,4,0,0.0003744349999124097,0.00019635600006040477
-4,5,1,-4,5,0,0.00034357799995632377,0.00019850000001042645
-3,-5,1,-3,-5,0,0.0003922509999938484,0.0001972269999441778
-3,-4,1,-3,-4,0,0.0020176819999733198,0.00020729300001676165
-3,-3,1,-3,-3,0,0.0004409550000445961,0.0001971479999838266
-3,-2,1,-3,-2,0,0.00036663200000930374,0.00020139299999755167
-3,-1,1,-3,-1,0,0.00037947200007693027,0.00019748800002616917
-3,0,1,-3,0,0,0.00029019699991295056,0.00018034200002148282
-3,1,1,-3,1,0,0.00034156499998516665,0.0001957849999598693
-3,2,1,-3,2,0,0.0003586610000638757,0.000252440999929604
-3,3,1,-3,3,0,0.0003488160000415519,0.00019537499997568375
-3,4,1,-3,4,0,0.00037135000002308516,0.0001945129999967321
-3,5,1,-3,5,0,0.0003402030000643208,0.000449638000077357
-2,-5,1,-2,-5,0,0.00042001300005267694,0.00019681699995999224
-2,-4,1,-2,-4,0,0.00037370300003658485,0.00019554400000743044
-2,-3,1,-2,-3,0,0.0003660610000224551,0.00019529500002590794
-2,-2,1,-2,-2,0,0.00048135600002296997,0.00019879899991792627
-2,-1,1,-2,-1,0,0.00036666300002252683,0.00023231000000123458
-2,0,1,-2,0,0,0.000308064000023478,0.00016260500001408218
-2,1,1,-2,1,0,0.0003353150000293681,0.00021239000000150554
-2,2,1,-2,2,0,0.0003415050000512565,0.00019433300008131482
-2,3,1,-2,3,0,0.00038662299994030036,0.00019661699991502246
-2,4,1,-2,4,0,0.00037687799999730487,0.00019522399998095352
-2,5,1,-2,5,0,0.000380293000034726,0.00019690700003138772
-1,-5,1,-1,-5,0,0.0003734030000259736,0.00021742800004176388
-1,-4,1,-1,-4,0,0.00034437900001194066,0.0001964760000419119
-1,-3,1,-1,-3,0,0.00032826500000737724,0.00021296099998835416
-1,-2,1,-1,-2,0,0.00034138499995606253,0.00019920999989153643
-1,-1,1,-1,-1,0,0.00035112000000481203,0.00019795900004737632
-1,0,1,-1,0,0,0.0002977279999640814,0.00018555999997715844
-1,1,1,-1,1,0,0.00039322299994637433,0.00020012200002383906
-1,2,1,-1,2,0,0.0003464529999064325,0.00019744799999443785
-1,3,1,-1,3,0,0.0003685860000359753,0.00019759700001031888
-1,4,1,-1,4,0,0.0003413739999587051,0.00019722700005786464
-1,5,1,-1,5,0,0.000358008999910453,0.00019905000010567164
0,-5,1,0,-5,0,0.00027602599993770127,0.0001531599999680111
0,-4,1,0,-4,0,0.0002951550000034331,0.00015500300003168377
0,-3,1,0,-3,0,0.00031476399999519344,0.00015718700001343677
0,-2,1,0,-2,0,0.0003549150000026202,0.00015629600000011123
0,-1,1,0,-1,0,0.0002909489999183279,0.00015368199990462017
0,0,1,0,0,0,0.0002678230000583426,0.0001174269999637545
0,1,1,0,1,0,0.0002716600000667313,0.00015453299999990122
0,2,1,0,2,0,0.0002704769999581913,0.00017865999996047321
0,3,1,0,3,0,0.00027468399991903425,0.00014954499999930704
0,4,1,0,4,0,0.0002673730000424257,0.00014944600002309016
0,5,1,0,5,0,0.0002944940000588758,0.0001484340000388329
1,-5,1,1,-5,0,0.0003807939999660448,0.0002002109999921231
1,-4,1,1,-4,0,0.0004145249999965017,0.00019778800003678043
1,-3,1,1,-3,0,0.000338870000064162,0.00023273099998277758
1,-2,1,1,-2,0,0.00033709899992118153,0.00019550500007881055
1,-1,1,1,-1,0,0.00034554100000150356,0.00019744799999443785
1,0,1,1,0,0,0.00027927100006763794,0.0001578580000796137
1,1,1,1,1,0,0.00032879599996249453,0.00019383200003630918
1,2,1,1,2,0,0.0003165379999927609,0.00023845999999139167
1,3,1,1,3,0,0.00038285699997686606,0.00019474399994123814
1,4,1,1,4,0,0.0003425659999720665,0.00019909000002371613
1,5,1,1,5,0,0.0003641890000380954,0.00019395300000724092
2,-5,1,2,-5,0,0.0003625470000088171,0.00022361699996054085
2,-4,1,2,-4,0,0.00033368300000802265,0.00019094799995400535
2,-3,1,2,-3,0,0.000320592999969449,0.0002131109999936598
2,-2,1,2,-2,0,0.00032983800008423714,0.00022481800010609732
2,-1,1,2,-1,0,0.0003544139999576146,0.00022892499998761195
2,0,1,2,0,0,0.00030193499992492434,0.0001603619999741568
2,1,1,2,1,0,0.000366653000014594,0.0001964760000419119
2,2,1,2,2,0,0.00033447399994201987,0.00019282099992778967
2,3,1,2,3,0,0.0003398930000457767,0.00019907099999727507
2,4,1,2,4,0,0.0003273730000046271,0.00019389199997021933
2,5,1,2,5,0,0.0003430979999166084,0.0001929600000494247
3,-5,1,3,-5,0,0.00038166499996350467,0.00024646100007430505
3,-4,1,3,-4,0,0.0003530519999230819,0.0001935709999543178
3,-3,1,3,-3,0,0.00032415900000160036,0.00022839500002191926
3,-2,1,3,-2,0,0.0003401019999955679,0.00019579500008148898
3,-1,1,3,-1,0,0.0003867930000751585,0.00019961100008458743
3,0,1,3,0,0,0.00029806899999584857,0.00016086200002973783
3,1,1,3,1,0,0.0003779099999974278,0.00019643600001018058
3,2,1,3,2,0,0.00036210500002198387,0.00019873000007919472
3,3,1,3,3,0,0.00037676799991004373,0.00019418299996232236
3,4,1,3,4,0,0.0003966080000736838,0.0002309479999667019
3,5,1,3,5,0,0.00035186100001283194,0.00019576500005769049
4,-5,1,4,-5,0,0.0003794120000293333,0.00019552399999156478
4,-4,1,4,-4,0,0.00037466499998117797,0.00019706700004462618
4,-3,1,4,-3,0,0.00038703300003817276,0.00019504400006553624
4,-2,1,4,-2,0,0.00037296200002856494,0.00019413300003634504
4,-1,1,4,-1,0,0.00036793499998566404,0.00019358200006536208
4,0,1,4,0,0,0.0002823049999278737,0.00015964099998200254
4,1,1,4,1,0,0.0003403229999321411,0.000193911999986085
4,2,1,4,2,0,0.0003250199999911274,0.0002120200000490513
4,3,1,4,3,0,0.0003222459999960847,0.00019372200006273488
4,4,1,4,4,0,0.0003164469999319408,0.00024199500001031993
4,5,1,4,5,0,0.0003403130000378951,0.00021791799997572525
5,-5,1,5,-5,0,0.0004056909999690106,0.0001957050000100935
5,-4,1,5,-4,0,0.0003396419999717182,0.00019476400007079064
5,-3,1,5,-3,0,0.00035335299992311775,0.00019860999998400075
5,-2,1,5,-2,0,0.0003388710000535866,0.000197498000034102
5,-1,1,5,-1,0,0.0003513589999784017,0.00019874999998137355
5,0,1,5,0,0,0.00028913599999214057,0.00016332600000623643
5,1,1,5,1,0,0.0003430870000329378,0.00019851000001835928
5,2,1,5,2,0,0.00035304199991514906,0.0002092859999720531
5,3,1,5,3,0,0.00033606600004532083,0.00019532500004970643
5,4,1,5,4,0,0.000321304999943095,0.00021773900004973257
5,5,1,5,5,0,0.0003263219999780631,0.00019432299995969515
