name,family,outcome,proposal_call_seconds,check_seconds,certificate_bytes
segment-0,integral_coordinates,homology,0.002867439000056038,0.0005813749999106221,909
boundary-0,cycle_filling,fill,0.0023338250000506378,6.547899988618155e-05,60
cycle-0,cycle_classification,obstruction,0.0021467930000653723,0.00019992099987575784,79
induced-scale-0,induced_maps,induced,0.004445374999932028,0.0012591360000442364,1957
induced-basis-0,induced_maps,induced,0.005416098000068814,0.0012948300000061863,1951
segment-1,integral_coordinates,homology,0.0011431519999405282,0.00020223499996063765,582
boundary-1,cycle_filling,fill,0.0010500319999664498,4.5428000021274784e-05,50
cycle-1,cycle_classification,obstruction,0.0012680700001510559,4.329499984123686e-05,75
induced-scale-1,induced_maps,induced,0.0020974090000436263,0.00043680799990397645,1271
induced-basis-1,induced_maps,induced,0.0021362269999372074,0.0004856110001583147,1278
segment-2,integral_coordinates,homology,0.0010367810000389,0.00019425300001785217,566
boundary-2,cycle_filling,fill,0.001004822999902899,3.385099989827722e-05,54
cycle-2,cycle_classification,fill,0.0011704030000601051,3.491200004646089e-05,56
induced-scale-2,induced_maps,induced,0.0019164969999110326,0.00041473500004940433,1239
induced-basis-2,induced_maps,induced,0.0018038570001408516,0.0005055409999386029,1232
segment-3,integral_coordinates,homology,0.0007501600000523467,0.00016742200000408047,532
boundary-3,cycle_filling,fill,0.0008131049999064999,3.0656000035378383e-05,49
cycle-3,cycle_classification,obstruction,0.0007519920000049751,3.332999995109276e-05,77
induced-scale-3,induced_maps,induced,0.001556793999952788,0.0003511990000788501,1174
induced-basis-3,induced_maps,induced,0.0014870600000449485,0.00044749299991053704,1176
segment-4,integral_coordinates,homology,0.0013130680001722794,0.00028012200004923216,705
boundary-4,cycle_filling,fill,0.0014204999999947177,5.436199990072055e-05,59
cycle-4,cycle_classification,obstruction,0.0013559919998442638,5.7507000065015745e-05,76
induced-scale-4,induced_maps,induced,0.0027741580001929833,0.0006511109997973108,1502
induced-basis-4,induced_maps,induced,0.002712015000042811,0.0006786020001072757,1508
segment-5,integral_coordinates,homology,0.0014303650000329071,0.00026319599987800757,641
boundary-5,cycle_filling,fill,0.0016517879998900753,4.196300005787634e-05,60
cycle-5,cycle_classification,obstruction,0.0012513950000538898,6.503800000245974e-05,76
induced-scale-5,induced_maps,induced,0.002380245000040304,0.0006667039999683766,1389
induced-basis-5,induced_maps,induced,0.002439885000057984,0.0006247510000321199,1394
segment-6,integral_coordinates,homology,0.0008224690000133705,0.00019329099995957222,548
boundary-6,cycle_filling,fill,0.0009433610000542103,3.6375000036059646e-05,52
cycle-6,cycle_classification,obstruction,0.0008821989999887592,3.99400000787864e-05,73
induced-scale-6,induced_maps,induced,0.0016718980000405281,0.0003665819999696396,1195
induced-basis-6,induced_maps,induced,0.0017118189998654998,0.00039657699994677387,1196
segment-7,integral_coordinates,homology,0.0007399240000722784,0.0001696760000413633,550
boundary-7,cycle_filling,fill,0.0008227490000081161,3.3471000051576993e-05,58
cycle-7,cycle_classification,obstruction,0.0007632500000909204,3.519300003063108e-05,71
induced-scale-7,induced_maps,induced,0.0014929279998341372,0.0003868730000249343,1192
induced-basis-7,induced_maps,induced,0.0017424040001969843,0.0004144239999277488,1192
segment-8,integral_coordinates,homology,0.0003664719999960653,9.571399982633011e-05,456
boundary-8,cycle_filling,fill,0.00040155500005312206,2.3364999833574984e-05,49
cycle-8,cycle_classification,fill,0.00039670799992563843,2.3745000135022565e-05,49
induced-scale-8,induced_maps,induced,0.0007459130001734593,0.0001872119999006827,1002
induced-basis-8,induced_maps,induced,0.0007059729998672992,0.00018878400010180485,1002
segment-9,integral_coordinates,homology,0.0006043299999873852,0.00011597499997151317,491
boundary-9,cycle_filling,fill,0.0005843700000696117,3.182799991918728e-05,52
cycle-9,cycle_classification,fill,0.0005798329998469853,3.112700005658553e-05,52
induced-scale-9,induced_maps,induced,0.0012477390000640298,0.00024858400001903647,1072
induced-basis-9,induced_maps,induced,0.0011011090000465629,0.0002625649999572488,1064
segment-10,integral_coordinates,homology,0.00036600099997485813,9.901899989017693e-05,450
boundary-10,cycle_filling,fill,0.0003807130001405312,2.456699985486921e-05,52
cycle-10,cycle_classification,fill,0.0003887650000251597,2.394600005573011e-05,52
induced-scale-10,induced_maps,induced,0.0006975609999244625,0.0001876520000223536,990
induced-basis-10,induced_maps,induced,0.0006821669999226287,0.00021328100001483108,990
segment-11,integral_coordinates,homology,0.0005450109999856068,0.00011072699999203905,467
boundary-11,cycle_filling,fill,0.0005579099999977188,2.8813000199079397e-05,50
cycle-11,cycle_classification,fill,0.0006052920000456652,2.961399991363578e-05,50
induced-scale-11,induced_maps,induced,0.0010426700000607525,0.00022093300003689365,1024
induced-basis-11,induced_maps,induced,0.0010565909999513678,0.00024654200001350546,1023
segment-12,integral_coordinates,homology,0.0015046759999677306,0.00048332799997297116,798
boundary-12,cycle_filling,fill,0.001590366000073118,4.831299997931637e-05,58
cycle-12,cycle_classification,obstruction,0.001594851999925595,5.1216999963799026e-05,79
induced-scale-12,induced_maps,induced,0.003853224000067712,0.0011861159998716175,1740
induced-basis-12,induced_maps,induced,0.0031578660000377567,0.0010705130000587815,1742
segment-13,integral_coordinates,homology,0.0009359400000903406,0.00022246499997891078,602
boundary-13,cycle_filling,fill,0.0010811580000336107,4.059200000483543e-05,58
cycle-13,cycle_classification,obstruction,0.0009100810000290949,4.051099995194818e-05,71
induced-scale-13,induced_maps,induced,0.002220925000074203,0.00045075899993207713,1295
induced-basis-13,induced_maps,induced,0.001877167999964513,0.0004826959998354141,1296
segment-14,integral_coordinates,homology,0.001371064999830196,0.0002998320001097454,718
boundary-14,cycle_filling,fill,0.001501800999903935,3.771699994103983e-05,60
cycle-14,cycle_classification,obstruction,0.001246266999942236,3.9308999930653954e-05,79
induced-scale-14,induced_maps,induced,0.002692495000019335,0.0006962190000194823,1557
induced-basis-14,induced_maps,induced,0.002528739000126734,0.0006880959999762126,1536
