run,round,slug,family,outcome,cases,achieved,ablation_achieved
p1,design,p1-structural-search,quadratic_sos,certified,60,60,1
p1,design,p1-structural-search,finite_cone_lp,certified,17,17,0
p1,design,p1-structural-search,bernstein_box,certified,18,18,1
p1,design,p1-structural-search,polynomial_recurrence,certified,33,33,
p1,design,p1-structural-search,integral_affine_witness,certified,40,40,
p1,design,p1-structural-search,univariate_with_zeros,certified,30,30,0
p2,design,p2-obligation-controller,list_induction,certified,6,6,
p2,design,p2-obligation-controller,polynomial_recurrence,certified,65,65,
p2,design,p2-obligation-controller,affine_witness_farkas,certified,63,63,
p2,design,p2-obligation-controller,dictionary_square,certified,40,40,
p2,design,p2-obligation-controller,bernstein_box,certified,41,41,25
p3,design,p3-planner-certificate-layer,quadratic_constructed,certified,60,60,
p3,design,p3-planner-certificate-layer,quadratic_curated,certified,4,4,
p3,design,p3-planner-certificate-layer,cone_constructed,certified,30,30,
p3,design,p3-planner-certificate-layer,cone_curated,certified,10,9,0
p3,design,p3-planner-certificate-layer,bernstein_box,certified,10,8,3
p3,design,p3-planner-certificate-layer,horn_demand,certified,12,12,3
p3,design,p3-planner-certificate-layer,list_induction,certified,8,8,6
p4,design,p4-theory-cooperation,residue_witness,certified,1080,831,
p4,design,p4-theory-cooperation,cdclt_random,certified,300,300,
p4,design,p4-theory-cooperation,cone_ideal,certified,49,47,
p4,design,p4-theory-cooperation,quadratic,certified,40,40,
p4,design,p4-theory-cooperation,bernstein_box,certified,13,12,
p4,design,p4-theory-cooperation,pigeonhole,certified,5,5,
p4,design,p4-theory-cooperation,structural_equations,certified,7,5,
p4,design,p4-theory-cooperation,induction_ablation,certified,4,1,
p5,design,p5-certificate-first,cone_named,certified,12,9,
p5,design,p5-certificate-first,cone_generated,certified,100,100,
p5,design,p5-certificate-first,false_controls,certified,24,0,
p5,design,p5-certificate-first,bernstein_box,certified,45,43,
p5,design,p5-certificate-first,recurrence_invariant,certified,49,49,
p6,design,p6-proof-logging-cdcl,sat_differential,certified,1500,1500,
p6,design,p6-proof-logging-cdcl,sat_unsat_certificates,certified,222,222,
p6,design,p6-proof-logging-cdcl,polynomial_search,certified,10,7,
p6,design,p6-proof-logging-cdcl,invariant_synthesis,certified,6,6,
p7,design,p7-successor-architecture,sos_cone,certified,9,9,
p7,design,p7-successor-architecture,accumulator_invariant,certified,11,11,
p7,design,p7-successor-architecture,integer_lattice,certified,5,5,
p7,design,p7-successor-architecture,horn_demand,certified,1,1,
p8,design,p8-obligation-broker,cone_enriched,certified,60,60,17
p8,design,p8-obligation-broker,bernstein_box,certified,21,21,0
p8,design,p8-obligation-broker,affine_invariant,certified,121,121,
p8,design,p8-obligation-broker,out_of_template,certified,5,0,
p9,design,p9-proof-planner,theorem_bank,certified,1,1,
p9,design,p9-proof-planner,horn_proof,certified,4,4,
p9,design,p9-proof-planner,cone,certified,6,6,
p9,design,p9-proof-planner,box,certified,1,1,
p9,design,p9-proof-planner,witness,certified,1,1,
e1,extension,e1-relational-closure,scaled_graph,certified,8,8,8
e1,extension,e1-relational-closure,coupled_nonlinear,certified,8,8,0
e1,extension,e1-relational-closure,nonlinear_equivalence,certified,8,8,0
e1,extension,e1-relational-closure,nonlinear_mutant,refuted,8,8,8
e1,extension,e1-relational-closure,affine_equivalence,certified,12,12,12
e1,extension,e1-relational-closure,affine_mutant,refuted,6,6,6
e1,extension,e1-relational-closure,control_flow,certified,4,4,4
e1,extension,e1-relational-closure,boundary_controls,mixed,8,8,8
e2,extension,e2-algorithmic-extensions,two_sided,certified,25,25,
e2,extension,e2-algorithmic-extensions,invariant,certified,24,24,3
e2,extension,e2-algorithmic-extensions,gosper,certified,15,15,
e2,extension,e2-algorithmic-extensions,telescoper,certified,1,1,
e3,extension,e3-closure-extensions,finite_state,mixed,240,240,
e3,extension,e3-closure-extensions,finite_state_ablation,refuted,1,1,
e3,extension,e3-closure-extensions,finite_state_budget,unknown,1,0,
e3,extension,e3-closure-extensions,ideal_generated,certified,16,16,
e3,extension,e3-closure-extensions,ideal_named,certified,2,2,
e3,extension,e3-closure-extensions,ideal_negative,refuted,1,1,
e3,extension,e3-closure-extensions,telescoping,certified,10,10,
e3,extension,e3-closure-extensions,telescoping_budget,unknown,2,0,
e3,extension,e3-closure-extensions,vector_generated,certified,24,24,
